contractor_id,contractor_type_id,contractor_version,"contractor_bus_name","contractor_number",dmerc_rgn,"address1","address2","address3","city",state_id,"zipcode","phone","fax","status",last_updated,"url","email","ignore","status_flag","cmd_name","cmd_title",contractor_subtype_id
265,9,1,"Wisconsin Physicians Service Insurance Corporation","08102",13,"1717 W. Broadway","PO BOX 1787","","Madison",57,"53701-1787","8662347331","","A",2018-02-16 16:47:01.680000000,"www.wpsgha.com","","","Y","Ella M. Noel, D.O., F.A.C.O.I.","Mac Jurisdiction 8 Contractor Medical Director",2
266,8,1,"Wisconsin Physicians Service Insurance Corporation","08201",13,"1717 W. Broadway","PO BOX 1787","","Madison",57,"53701-1787","8662347331","","A",2018-02-16 16:46:35.517000000,"www.wpsgha.com","","","Y","Ella M. Noel, D.O., F.A.C.O.I.","Mac Jurisdiction 8 Contractor Medical Director",1
267,9,1,"Wisconsin Physicians Service Insurance Corporation","08202",13,"1717 W. Broadway","PO BOX 1787","","Madison",57,"53701-1787","8662347331","","A",2018-02-16 16:50:36.007000000,"www.wpsgha.com","","","Y","Ella M. Noel, D.O., F.A.C.O.I.","Mac Jurisdiction 8 Contractor Medical Director",2
268,8,1,"Wisconsin Physicians Service Insurance Corporation","05901",11," 1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2018-07-26 19:17:57.827000000,"www.wpsgha.com","","","Y","Robert E. Kettler, MD","MAC Jurisdiction 5 Contractor Medical Director",1
269,8,1,"National Government Services, Inc.","06101",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-04-27 14:58:11.593000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",1
270,8,1,"National Government Services, Inc.","06201",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-04-27 14:58:37.387000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",1
271,8,1,"National Government Services, Inc.","06301",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-04-27 14:59:00.920000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",1
272,11,1,"National Government Services, Inc.","06004",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-05-31 20:52:49.303000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",3
273,9,1,"National Government Services, Inc.","06102",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-04-27 15:08:29.297000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",2
274,9,1,"National Government Services, Inc.","06202",12," P. O. Box 7108","",""," Indianapolis",20,"46207-7108","8662347340","","A",2017-04-27 15:08:51.310000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",2
275,9,1,"National Government Services, Inc.","06302",12," P. O. Box 7108","","","Indianapolis ",20,"46207-7108","8662347340","","A",2017-04-27 15:09:12.753000000,"www.ngsmedicare.com","","","Y"," Carolyn Cunningham, M.D."," J6 Contract Medical Director",2
297,13,1,"National Government Services, Inc.","13101",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:41:43.470000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Medical Director",1
298,13,1,"National Government Services, Inc.","13201",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:44:43.990000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Medical Director",1
299,13,1,"National Government Services, Inc.","13102",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:43:15.060000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
300,13,1,"National Government Services, Inc.","13202",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:46:07.573000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Medical Director",2
301,13,1,"National Government Services, Inc.","13282",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:47:53.783000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Medical Director",2
302,13,1,"National Government Services, Inc.","13292",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:49:16.977000000,"www.ngsmedicare.com","","","Y","Stephen D. Boren, MD","Medical Director",2
303,13,1,"National Government Services, Inc.","14411",7,"P.O.Box 7108","","","Indianapolis",20,"46207-","8668370241","","A",2020-06-11 19:43:41.207000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",1
304,13,1,"National Government Services, Inc.","14211",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:39:17.657000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",1
305,13,1,"National Government Services, Inc.","14311",7,"P.O.Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:41:51.407000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",1
306,13,1,"National Government Services, Inc.","14511",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:57:03.150000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",1
307,13,1,"National Government Services, Inc.","14111",7,"P.O Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-10 17:54:32.080000000,"NGSmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",1
308,13,1,"National Government Services, Inc.","14014",7,"P.O.Box 7108","","","Indianapolis",20,"46207-7108","","","A",2022-01-12 14:15:40.230000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",3
309,13,1,"National Government Services, Inc.","14112",7,"P.O.Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:38:08.187000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
310,13,1,"National Government Services, Inc.","14212",7,"P.O. Box 7108","","","Indianapolis",20,"46207-","8668370241","","A",2020-06-11 19:40:48.330000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
311,13,1,"National Government Services, Inc.","14312",7,"P.O.Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:42:43.923000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
312,13,1,"National Government Services, Inc.","14512",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:58:01.010000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
313,13,1,"National Government Services, Inc.","14412",7,"P.O. Box 7108","","","Indianapolis",20,"46207-7108","8668370241","","A",2020-06-11 19:56:04.150000000,"ngsmedicare.com","","","Y","Stephen D. Boren, MD","Contractor Medical Director",2
314,12,1,"Novitas Solutions, Inc.","12101",8,"2020 Technology Parway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:24:30.900000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
315,12,1,"Novitas Solutions, Inc.","12201",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:32:39.320000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
316,12,1,"Novitas Solutions, Inc.","12301",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:36:57.480000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
317,12,1,"Novitas Solutions, Inc.","12401",8,"2020 Technology Parkway","2020 Technology Parkway","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:39:16.383000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
318,12,1,"Novitas Solutions, Inc.","12501",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:42:53.820000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
319,12,1,"Novitas Solutions, Inc.","12102",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:25:30.193000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
320,12,1,"Novitas Solutions, Inc.","12202",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:33:45.853000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
321,12,1,"Novitas Solutions, Inc.","12302",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:37:58.053000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
322,12,1,"Novitas Solutions, Inc.","12402",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:40:28.147000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
323,12,1,"Novitas Solutions, Inc.","12502",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:42:29.697000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
324,12,1,"Novitas Solutions, Inc.","12901",8,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8772358073","","A",2022-01-06 20:43:47.560000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
325,12,1,"Novitas Solutions, Inc.","07102",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:17:19.837000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
326,12,1,"Novitas Solutions, Inc.","07202",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:21:31.833000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
327,12,1,"Novitas Solutions, Inc.","07101",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:16:19.923000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
328,12,1,"Novitas Solutions, Inc.","07201",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:20:32.620000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
329,12,1,"Novitas Solutions, Inc.","07301",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:22:33.687000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
330,12,1,"Novitas Solutions, Inc.","07302",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:23:29.773000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
331,12,1,"Novitas Solutions, Inc.","04111",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:05:40.140000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
332,12,1,"Novitas Solutions, Inc.","04211",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:57:10.877000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
333,12,1,"Novitas Solutions, Inc.","04311",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:10:13.107000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
334,12,1,"Novitas Solutions, Inc.","04411",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:12:23.907000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
335,12,1,"Novitas Solutions, Inc.","04112",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:06:59.707000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
336,12,1,"Novitas Solutions, Inc.","04212",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:09:17.867000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
337,12,1,"Novitas Solutions, Inc.","04312",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:11:18.993000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
338,12,1,"Novitas Solutions, Inc.","04412",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:13:29.597000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",2
339,12,1,"Novitas Solutions, Inc.","04911",4,"2020 Technology Parkway","Suite 100","","Mechanicsburg",45,"17050-","8552528782","","A",2022-01-06 20:15:16.647000000,"www.novitas-solutions.com","","","Y","Leslie Stevens, MD","Acting Executive Contractor Medical Director",1
340,12,1,"Noridian Healthcare Solutions, LLC","03201",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:00:35.453000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
341,12,1,"Noridian Healthcare Solutions, LLC","03301",2," 900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:01:44.990000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
342,12,1,"Noridian Healthcare Solutions, LLC","03401",2," 900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:03:15.477000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
343,12,1,"Noridian Healthcare Solutions, LLC","03501",2," 900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:11:16.177000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
344,12,1,"Noridian Healthcare Solutions, LLC","03601",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:12:15.590000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
345,12,1,"Noridian Healthcare Solutions, LLC","03102",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:59:54.183000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD ",2
346,12,1,"Noridian Healthcare Solutions, LLC","03202",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:01:10.260000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD  ",2
347,12,1,"Noridian Healthcare Solutions, LLC","03302",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:02:36.093000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",2
348,12,1,"Noridian Healthcare Solutions, LLC","03502",2,"900 42nd Street S. ","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:11:45.930000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",2
349,12,1,"Noridian Healthcare Solutions, LLC","03602",2,"900 42nd Street S. ","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:12:45.500000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",2
350,12,1,"Noridian Healthcare Solutions, LLC","03402",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 22:04:16.537000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",2
351,12,1,"Noridian Healthcare Solutions, LLC","03101",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:57:40.313000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
352,12,1,"Noridian Healthcare Solutions, LLC","02201",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:52:50.567000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
353,12,1,"Noridian Healthcare Solutions, LLC","02101",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:51:27.160000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
354,12,1,"Noridian Healthcare Solutions, LLC","02301",2,"900 42th Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:55:30.380000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
355,12,1,"Noridian Healthcare Solutions, LLC","02401",2,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:56:37.063000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",1
356,12,1,"Noridian Healthcare Solutions, LLC","02202",2,"900 42nd Street S. ","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:54:55.543000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD ",2
357,12,1,"Noridian Healthcare Solutions, LLC","02102",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:52:13.880000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD ",2
358,12,1,"Noridian Healthcare Solutions, LLC","02402",2,"900 42nd Street S. ","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:57:06.873000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD",2
359,12,1,"Noridian Healthcare Solutions, LLC","02302",2,"900 42nd Street S.","PO Box 6781","","Fargo",35,"58103-6781","8779088431","","A",2019-02-12 21:56:01.290000000,"www.noridianmedicare.com","","","Y","Janet Lawrence","MD ",2
360,12,1,"Noridian Healthcare Solutions, LLC","01111",1,"900 42nd Street S","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:32:07.030000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",1
361,12,1,"Noridian Healthcare Solutions, LLC","01211",1,"900 42nd Street S ","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:33:23.727000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",1
362,12,1,"Noridian Healthcare Solutions, LLC","01311",1,"900 42nd Street S ","PO Box 6781",""," Fargo",35,"58103-6781","8556099960","","A",2019-02-12 21:34:37.060000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",1
363,12,1,"Noridian Healthcare Solutions, LLC","01911",1,"900 42nd Street S ","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:38:26.667000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",1
364,12,1,"Noridian Healthcare Solutions, LLC","01112",1,"900 42nd Street S","PO Box 6781","","Fargo",35,"58103-6781","8556099960","","A",2019-02-12 21:31:44.873000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",2
365,12,1,"Noridian Healthcare Solutions, LLC","01182",1,"900 42nd Street S ","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:32:44.857000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",2
366,12,1,"Noridian Healthcare Solutions, LLC","01212",1,"900 42nd Street S ","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:34:03.183000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",2
367,12,1,"Noridian Healthcare Solutions, LLC","01312",1,"900 42nd Street S ","PO Box 6781","","Fargo ",35,"58103-6781","8556099960","","A",2019-02-12 21:35:09.547000000,"www.noridianmedicare.com","","","Y","Eileen Moynihan","MD, FACP, FACRh",2
368,12,1,"First Coast Service Options, Inc.","09101",10,"532 Riverside Avenue","","","Jacksonville",12,"32202-","8664549007","","A",2022-01-06 19:49:47.777000000,"https://medicare.fcso.com","","","Y","Juan Schaening-Perez","Contractor Medical Director",1
369,12,1,"First Coast Service Options, Inc.","09201",10,"532 Riverside Avenue","","","Jacksonville",12,"32202-","8664549007","","A",2022-01-06 19:50:42.420000000,"https://medicare.fcso.com","","","Y","Juan L. Schaening-Perez, MD","Contractor Medical Director",1
370,12,1,"First Coast Service Options, Inc.","09102",10,"532 Riverside Avenue","","","Jacksonville",12,"32202-","8664549007","","A",2022-01-06 19:50:15.737000000,"https://medicare.fcso.com","","","Y","Juan L. Schaening-Perez, MD","Contractor Medical Director",2
371,12,1,"First Coast Service Options, Inc.","09202",10,"532 Riverside Avenue","","","Jacksonville",12,"32202-","8664549007","","A",2022-01-06 19:49:25.793000000,"https://medicare.fcso.com","","","Y","Juan L. Schaening-Perez, MD","Contractor Medical Director",2
