"lcd_id","lcd_version","related_num","r_article_id","r_article_version","r_lcd_id","r_lcd_version","r_contractor_id","last_updated"
"33423","48","2","","","37377","3","374","2017-07-28 15:59:27.013000000"
"33423","48","3","56691","3","","","391","2019-07-02 22:14:25.673000000"
"33428","50","1","55667","2","","","378","2017-07-26 19:53:04.080000000"
"33428","50","2","53497","7","","","378","2017-07-26 19:54:35.917000000"
"33428","50","3","","","37376","6","378","2017-07-26 19:55:10.473000000"
"33428","50","4","56658","2","","","391","2019-06-25 13:12:54.703000000"
"33428","53","1","55667","2","","","378","2017-07-26 19:53:04.080000000"
"33428","53","2","53497","7","","","378","2017-07-26 19:54:35.917000000"
"33428","53","3","","","37376","6","378","2017-07-26 19:55:10.473000000"
"33428","53","4","56658","2","","","391","2019-06-25 13:12:54.703000000"
"33431","49","1","","","35132","19","373","2016-05-06 13:14:52.497000000"
"33431","49","2","56686","2","","","394","2019-07-02 16:45:33.777000000"
"33431","52","1","","","35132","19","373","2016-05-06 13:14:52.497000000"
"33431","52","2","56686","2","","","394","2019-07-02 16:45:33.777000000"
"33436","31","1","56732","4","","","394","2019-08-07 20:44:43.287000000"
"33436","35","1","56732","4","","","394","2019-08-07 20:44:43.287000000"
"33438","40","1","55504","2","","","378","2017-04-05 18:32:10.083000000"
"33438","40","2","","","37156","3","378","2017-04-05 18:32:21.567000000"
"33438","40","3","56531","4","","","378","2019-04-29 20:12:46.463000000"
"33438","43","1","55504","2","","","378","2017-04-05 18:32:10.083000000"
"33438","43","2","","","37156","3","378","2017-04-05 18:32:21.567000000"
"33438","43","3","56531","4","","","378","2019-04-29 20:12:46.463000000"
"33443","29","1","56719","2","","","394","2019-07-15 19:16:05.207000000"
"33444","35","1","55409","2","","","378","2016-12-15 20:06:18.130000000"
"33444","35","2","","","36753","3","378","2016-12-15 20:06:27.050000000"
"33444","35","3","56784","4","","","394","2019-07-23 19:47:59.053000000"
"33444","38","1","55409","2","","","378","2016-12-15 20:06:18.130000000"
"33444","38","2","","","36753","3","378","2016-12-15 20:06:27.050000000"
"33444","38","3","56784","4","","","394","2019-07-23 19:47:59.053000000"
"33445","71","1","55403","2","","","374","2016-12-14 00:14:36.813000000"
"33445","71","2","","","36927","3","374","2016-12-14 00:14:46.627000000"
"33445","71","3","56346","2","","","391","2019-02-15 16:01:44.017000000"
"33446","42","1","56730","3","","","394","2019-07-17 13:59:46.263000000"
"33446","47","1","56730","3","","","394","2019-07-17 13:59:46.263000000"
"33447","38","1","55407","2","","","378","2016-12-14 19:02:18.090000000"
"33447","38","2","","","36943","3","378","2016-12-14 19:02:30.087000000"
"33447","38","3","56771","2","","","394","2019-07-21 20:52:02.367000000"
"33447","42","1","55407","2","","","378","2016-12-14 19:02:18.090000000"
"33447","42","2","","","36943","3","378","2016-12-14 19:02:30.087000000"
"33447","42","3","56771","2","","","394","2019-07-21 20:52:02.367000000"
"33449","36","1","56621","5","","","378","2019-06-10 16:39:05.133000000"
"33452","30","1","55522","2","","","378","2017-04-26 19:10:25.570000000"
"33452","30","2","","","37151","4","378","2017-04-26 19:10:39.080000000"
"33452","30","3","56772","3","","","394","2019-07-22 15:15:46.640000000"
"33455","26","1","56724","3","","","394","2019-07-16 13:21:26.797000000"
"33455","31","1","56724","3","","","394","2019-07-16 13:21:26.797000000"
"33456","65","1","56777","3","","","391","2019-07-23 19:24:45.780000000"
"33456","68","1","56777","3","","","391","2019-07-23 19:24:45.780000000"
"33457","53","1","54768","2","","","378","2015-12-03 21:54:43.800000000"
"33457","53","2","56476","3","","","391","2019-04-08 15:30:15.823000000"
"33457","57","1","54768","2","","","378","2015-12-03 21:54:43.800000000"
"33457","57","2","56476","3","","","391","2019-04-08 15:30:15.823000000"
"33458","66","1","55428","2","","","378","2017-01-10 14:54:38.057000000"
"33458","66","2","","","36928","3","378","2017-01-10 14:54:59.287000000"
"33458","66","3","56646","2","","","394","2019-06-25 13:11:01.420000000"
"33458","69","1","55428","2","","","378","2017-01-10 14:54:38.057000000"
"33458","69","2","","","36928","3","378","2017-01-10 14:54:59.287000000"
"33458","69","3","56646","2","","","394","2019-06-25 13:11:01.420000000"
"33459","37","1","56580","3","","","391","2019-05-14 12:15:54.310000000"
"33461","57","1","55382","2","","","378","2016-12-07 22:35:29.840000000"
"33461","57","2","","","36931","4","378","2016-12-07 22:35:48.933000000"
"33461","57","4","56695","3","","","378","2019-07-03 19:24:19.077000000"
"33461","59","1","55382","2","","","378","2016-12-07 22:35:29.840000000"
"33461","59","2","","","36931","4","378","2016-12-07 22:35:48.933000000"
"33461","59","4","56695","3","","","378","2019-07-03 19:24:19.077000000"
"33467","46","2","53060","6","","","234","2015-02-12 19:01:14"
"33473","37","1","55664","2","","","378","2017-07-26 16:05:23.220000000"
"33473","37","2","","","37388","4","378","2017-07-26 16:05:37.560000000"
"33473","37","3","56819","3","","","394","2019-07-31 17:16:53.287000000"
"33473","38","1","55664","2","","","378","2017-07-26 16:05:23.220000000"
"33473","38","2","","","37388","4","378","2017-07-26 16:05:37.560000000"
"33473","38","3","56819","3","","","394","2019-07-31 17:16:53.287000000"
"33557","45","1","52850","2","","","297","2014-04-02 21:36:38"
"33558","32","1","55257","6","","","297","2016-09-09 10:34:58.547000000"
"33558","32","2","56544","7","","","297","2019-07-25 17:18:27.313000000"
"33559","21","1","56737","4","","","297","2019-07-25 19:26:16.430000000"
"33560","31","1","56743","3","","","297","2019-07-25 19:26:48.313000000"
"33562","26","1","57026","3","","","297","2019-09-06 16:20:51.947000000"
"33563","26","1","56766","5","","","297","2019-07-26 20:47:01.987000000"
"33567","27","1","56726","5","","","297","2019-07-25 17:17:14.630000000"
"33569","28","1","58445","3","","","297","2020-10-08 15:51:09.243000000"
"33569","28","2","56178","18","","","297","2020-10-08 15:54:32.760000000"
"33573","24","1","56826","11","","","297","2019-11-01 16:01:16.343000000"
"33574","37","1","56551","5","","","297","2019-07-25 17:28:27.917000000"
"33575","40","1","55704","7","","","269","2017-11-10 16:17:41.713000000"
"33575","40","2","52870","24","","","269","2017-12-22 14:10:23.067000000"
"33576","23","1","57455","3","","","297","2019-10-17 19:21:43.023000000"
"33577","43","1","56781","3","","","297","2019-07-25 19:28:14.327000000"
"33578","17","2","57427","5","","","297","2019-10-04 14:42:52.760000000"
"33579","34","1","52868","2","","","297","2014-04-02 21:41:14"
"33580","40","1","52866","2","","","297","2014-04-02 21:53:47"
"33583","21","1","57063","3","","","368","2019-10-02 19:19:11.247000000"
"33584","21","1","55261","5","","","297","2016-09-08 21:41:55.083000000"
"33584","21","2","57411","4","","","297","2019-10-04 14:10:03.340000000"
"33585","33","1","52849","2","","","297","2014-04-02 21:49:10"
"33591","18","1","56844","11","","","297","2019-11-01 17:27:45.993000000"
"33609","14","1","57651","5","","","368","2019-11-21 23:34:23.767000000"
"33610","25","1","52509","1","","","137","2014-04-04 15:37:47"
"33610","25","2","55426","12","","","389","2017-03-11 22:55:36.053000000"
"33610","27","1","52509","1","","","137","2014-04-04 15:37:47"
"33610","27","2","55426","12","","","389","2017-03-11 22:55:36.053000000"
"33610","31","1","55426","12","","","389","2017-03-11 22:55:36.053000000"
"33610","31","2","52509","1","","","137","2014-04-04 15:37:47"
"33611","18","1","52512","1","","","137","2014-04-04 15:42:34"
"33611","18","2","55426","14","","","389","2017-04-24 18:35:03.860000000"
"33611","20","1","52512","1","","","137","2014-04-04 15:42:34"
"33611","20","2","55426","14","","","389","2017-04-24 18:35:03.860000000"
"33611","25","1","52512","33","","","389","2021-06-18 16:01:10.290000000"
"33611","25","2","55426","83","","","389","2021-06-22 18:48:00.467000000"
"33611","25","3","58823","4","","","389","2021-06-18 15:37:55.227000000"
"33612","19","1","55426","14","","","389","2017-05-02 19:28:46.383000000"
"33612","19","2","52519","1","","","137","2014-04-04 16:25:04"
"33614","26","1","54858","2","","","297","2016-02-05 18:00:32.383000000"
"33614","26","2","56617","13","","","297","2019-07-26 19:15:10.257000000"
"33615","20","1","57635","3","","","368","2019-11-21 23:24:08.827000000"
"33616","10","1","55318","4","","","297","2016-09-08 21:40:55.900000000"
"33616","10","2","56954","3","","","297","2019-11-14 13:40:20.367000000"
"33618","23","3","57765","3","","","368","2019-11-22 00:16:26.277000000"
"33619","24","1","56787","5","","","297","2019-07-26 20:48:34.150000000"
"33621","15","1","56549","7","","","297","2019-07-25 17:24:48.110000000"
"33622","27","1","52863","2","","","297","2014-04-02 20:37:43"
"33623","25","1","56823","11","","","297","2019-11-01 17:17:10.710000000"
"33624","33","1","52823","2","","","297","2014-04-02 21:14:19"
"33624","33","2","56865","9","","","297","2019-11-08 16:28:24.357000000"
"33626","36","1","52824","2","","","297","2014-04-02 21:15:01"
"33626","36","2","56850","9","","","297","2020-02-07 19:38:05.313000000"
"33627","86","2","56758","8","","","297","2019-07-26 20:44:42.733000000"
"33627","89","2","56758","8","","","297","2019-07-26 20:44:42.733000000"
"33628","33","1","56550","6","","","297","2019-07-25 17:26:33.310000000"
"33630","27","1","56548","8","","","297","2019-07-25 17:20:14.050000000"
"33631","51","1","56566","19","","","297","2019-12-19 15:23:36.703000000"
"33632","76","1","52825","4","","","297","2017-07-19 11:10:15.777000000"
"33632","76","2","56937","11","","","297","2019-11-21 12:08:30.643000000"
"33633","49","1","56747","3","","","297","2019-07-25 19:27:21.490000000"
"33636","50","2","57759","4","","","297","2019-12-19 15:24:56.943000000"
"33641","21","1","55426","14","","","139","2017-04-19 16:44:44.527000000"
"33641","21","2","52481","1","","","139","2014-04-04 12:01:52"
"33642","22","1","52490","1","","","139","2014-04-04 12:10:21"
"33642","22","2","55426","14","","","139","2017-05-01 14:53:10.730000000"
"33642","26","1","55426","14","","","139","2017-05-01 14:53:10.730000000"
"33642","26","2","52490","1","","","139","2014-04-04 12:10:21"
"33646","31","1","52848","2","","","297","2014-04-02 20:32:19"
"33646","33","1","52848","2","","","297","2014-04-02 20:32:19"
"33646","36","1","52848","2","","","297","2014-04-02 20:32:19"
"33646","39","1","52848","2","","","297","2014-04-02 20:32:19"
"33661","19","1","57716","3","","","368","2019-11-22 00:12:22.270000000"
"33667","22","1","57064","4","","","368","2019-10-02 19:22:29.350000000"
"33669","22","2","57066","4","","","368","2019-10-02 19:25:02.267000000"
"33671","35","1","55937","2","","","368","2018-03-20 14:30:50.373000000"
"33671","35","5","56812","2","","","368","2019-08-02 16:59:26.010000000"
"33671","48","1","55937","24","","","368","2021-01-29 19:22:56.157000000"
"33671","48","2","58610","4","","","368","2021-01-29 14:51:58.963000000"
"33671","48","3","","","38827","7","368","2021-01-29 14:42:03.723000000"
"33674","10","1","57636","3","","","368","2019-11-21 23:25:48.253000000"
"33684","44","2","56482","6","","","368","2019-04-06 01:27:32.350000000"
"33684","44","4","56652","2","","","368","2019-06-22 02:40:28.580000000"
"33684","46","2","56482","6","","","368","2019-04-06 01:27:32.350000000"
"33684","46","4","56652","2","","","368","2019-06-22 02:40:28.580000000"
"33685","16","1","57655","3","","","368","2019-11-21 23:35:50.723000000"
"33686","22","1","52457","1","","","140","2014-04-02 19:32:25"
"33686","22","2","55426","12","","","388","2017-03-08 20:00:22.150000000"
"33686","28","1","55426","12","","","388","2017-03-08 20:00:22.150000000"
"33686","28","2","52457","1","","","140","2014-04-02 19:32:25"
"33689","17","1","57767","3","","","368","2019-11-22 00:19:15.530000000"
"33690","18","1","52458","1","","","140","2014-04-03 20:24:43"
"33690","18","2","55426","14","","","388","2017-04-24 16:25:00.730000000"
"33690","20","1","55426","14","","","388","2017-04-24 16:25:00.730000000"
"33690","20","2","52458","1","","","140","2014-04-03 20:24:43"
"33692","19","1","52468","1","","","140","2014-04-03 20:34:49"
"33692","19","2","55426","14","","","140","2017-05-01 15:54:49.170000000"
"33692","21","1","55426","14","","","140","2017-05-01 15:54:49.170000000"
"33692","21","2","52468","1","","","140","2014-04-03 20:34:49"
"33693","23","1","57125","3","","","368","2019-10-02 19:47:30.707000000"
"33695","26","1","57670","5","","","368","2019-11-21 23:53:06.700000000"
"33696","18","1","57126","3","","","368","2019-10-02 19:49:10.820000000"
"33704","22","1","57653","4","","","368","2019-11-21 23:37:12.943000000"
"33704","23","1","57653","4","","","368","2019-11-21 23:37:12.943000000"
"33707","21","1","57127","3","","","368","2019-10-02 19:53:14.073000000"
"33707","21","2","58260","2","","","368","2020-06-19 22:59:05.447000000"
"33718","20","1","52467","1","","","140","2014-04-03 20:33:31"
"33718","20","2","55426","14","","","140","2017-05-01 15:55:19.443000000"
"33718","25","1","52467","41","","","388","2021-06-18 18:10:31.273000000"
"33718","25","2","55426","83","","","388","2021-06-18 18:10:20.757000000"
"33718","25","3","58824","3","","","388","2021-06-18 18:10:11.227000000"
"33733","17","1","52459","1","","","140","2014-04-03 20:25:33"
"33733","17","2","55426","12","","","140","2017-03-21 17:41:06.057000000"
"33733","19","1","55426","12","","","140","2017-03-21 17:41:06.057000000"
"33733","19","2","52459","1","","","140","2014-04-03 20:25:33"
"33735","17","1","52460","1","","","140","2014-04-03 20:28:12"
"33735","17","2","55426","12","","","140","2017-04-12 11:14:06.890000000"
"33735","19","1","55426","12","","","140","2017-04-12 11:14:06.890000000"
"33735","19","2","52460","1","","","140","2014-04-03 20:28:12"
"33736","18","1","52461","1","","","140","2014-04-03 20:30:25"
"33736","18","2","55426","12","","","140","2017-03-13 15:49:29.737000000"
"33736","20","1","55426","12","","","140","2017-03-13 15:49:29.737000000"
"33736","20","2","52461","1","","","140","2014-04-03 20:30:25"
"33737","20","1","55426","12","","","140","2017-04-11 19:20:28.560000000"
"33737","20","2","52462","1","","","140","2014-04-03 20:31:21"
"33738","18","1","55426","14","","","140","2017-05-04 13:41:35.727000000"
"33738","18","2","52463","1","","","140","2014-04-03 20:31:58"
"33739","18","1","55426","14","","","140","2017-04-25 11:52:16.063000000"
"33739","18","2","52469","1","","","140","2014-04-03 20:35:35"
"33747","35","1","57725","3","","","368","2019-11-22 00:13:29.283000000"
"33747","35","2","57993","2","","","368","2020-02-27 17:28:52.860000000"
"33751","37","2","55824","3","","","368","2017-11-30 21:32:12.263000000"
"33751","37","3","57804","3","","","368","2019-11-22 00:33:45.910000000"
"33751","42","2","55824","3","","","368","2017-11-30 21:32:12.263000000"
"33751","42","3","57804","3","","","368","2019-11-22 00:33:45.910000000"
"33755","22","1","57176","3","","","368","2019-10-02 20:02:43.657000000"
"33756","23","1","57179","5","","","368","2019-10-02 20:14:32.777000000"
"33763","14","1","57180","3","","","368","2019-10-02 20:18:14.030000000"
"33766","25","1","57637","3","","","368","2019-11-21 23:28:45.870000000"
"33767","36","1","57256","3","","","368","2019-10-02 20:35:38.873000000"
"33767","36","2","57274","2","","","368","2019-10-02 21:09:50.820000000"
"33768","23","1","57182","3","","","368","2019-10-02 20:16:05.190000000"
"33771","42","1","56841","2","","","368","2019-08-02 16:48:13.010000000"
"33774","13","2","56704","2","","","368","2019-07-15 18:49:38.037000000"
"33774","13","3","56705","2","","","368","2019-07-15 18:50:01.293000000"
"33774","15","2","56704","2","","","368","2019-07-15 18:49:38.037000000"
"33774","15","3","56705","2","","","368","2019-07-15 18:50:01.293000000"
"33784","19","1","52502","1","","","138","2014-04-04 14:12:10"
"33784","19","2","55426","12","","","388","2017-04-12 12:08:17.303000000"
"33784","21","1","55426","12","","","388","2017-04-12 12:08:17.303000000"
"33784","21","2","52502","1","","","138","2014-04-04 14:12:10"
"33785","32","1","52494","1","","","138","2014-04-04 14:15:58"
"33785","32","2","55426","12","","","388","2017-03-16 20:46:53.093000000"
"33785","34","1","55426","12","","","388","2017-03-16 20:46:53.093000000"
"33785","34","2","52494","1","","","138","2014-04-04 14:15:58"
"33786","14","1","52495","1","","","138","2014-04-04 14:16:44"
"33786","14","2","55426","14","","","388","2017-04-25 12:17:29.750000000"
"33786","16","1","55426","14","","","388","2017-04-25 12:17:29.750000000"
"33786","16","2","52495","1","","","138","2014-04-04 14:16:44"
"33787","22","1","55426","12","","","388","2017-03-31 13:01:34.430000000"
"33787","22","2","52496","1","","","138","2014-04-04 14:17:19"
"33788","15","1","55426","14","","","388","2017-04-21 19:01:44.413000000"
"33788","15","2","52497","1","","","138","2014-04-04 14:20:28"
"33789","27","1","52498","1","","","138","2014-04-04 14:24:02"
"33789","27","2","55426","12","","","388","2017-04-12 14:19:35.923000000"
"33789","31","1","55426","12","","","388","2017-04-12 14:19:35.923000000"
"33789","31","2","52498","1","","","138","2014-04-04 14:24:02"
"33790","20","1","55426","12","","","388","2017-03-09 18:41:45.937000000"
"33790","20","2","52500","1","","","138","2014-04-04 14:25:31"
"33791","15","1","55426","14","","","388","2017-04-19 17:07:11.027000000"
"33791","15","2","52503","1","","","138","2014-04-04 14:27:27"
"33792","22","1","52504","1","","","138","2014-04-04 14:28:08"
"33792","22","2","55426","12","","","388","2017-03-09 18:42:28.613000000"
"33792","28","1","55426","12","","","388","2017-03-09 18:42:28.613000000"
"33792","28","2","52504","1","","","138","2014-04-04 14:28:08"
"33793","20","1","55426","14","","","388","2017-04-27 15:20:54.333000000"
"33793","20","2","52499","1","","","138","2014-04-04 14:24:45"
"33794","113","2","52507","63","","","389","2020-04-10 13:12:58.730000000"
"33794","113","3","55426","76","","","389","2020-04-10 13:13:39.100000000"
"33794","113","4","58288","5","","","389","2020-07-17 14:54:56.380000000"
"33794","121","1","52507","77","","","389","2021-05-28 14:53:19.063000000"
"33794","121","2","55426","83","","","389","2021-06-22 18:57:12.277000000"
"33794","121","3","58802","3","","","389","2021-05-28 14:37:48.260000000"
"33795","27","1","52510","1","","","137","2014-04-04 15:40:17"
"33795","27","2","55426","14","","","389","2017-04-19 16:17:12.490000000"
"33795","29","1","55426","14","","","389","2017-04-19 16:17:12.490000000"
"33795","29","2","52510","1","","","137","2014-04-04 15:40:17"
"33796","15","1","52513","1","","","137","2014-04-04 15:48:17"
"33796","15","2","55426","14","","","389","2017-05-01 14:53:32.790000000"
"33796","17","1","55426","14","","","389","2017-05-01 14:53:32.790000000"
"33796","17","2","52513","1","","","137","2014-04-04 15:48:17"
"33797","28","1","52514","31","","","389","2020-06-12 15:11:38.067000000"
"33797","28","2","55426","76","","","389","2020-06-12 15:11:45.100000000"
"33797","28","3","58247","3","","","389","2020-06-12 15:11:31.897000000"
"33799","15","1","55426","14","","","389","2017-05-01 14:53:46.797000000"
"33799","15","2","52516","1","","","137","2014-04-04 16:36:51"
"33800","21","1","52517","1","","","137","2014-04-04 16:38:38"
"33800","21","2","55426","12","","","389","2017-04-11 22:13:53.013000000"
"33800","26","1","52517","34","","","389","2021-06-18 16:41:17.950000000"
"33800","26","2","55426","83","","","389","2021-06-22 18:48:21.947000000"
"33800","26","3","58822","3","","","389","2021-06-18 16:24:21.840000000"
"33801","22","1","55426","12","","","389","2017-03-06 15:31:12.167000000"
"33801","22","2","52518","1","","","137","2014-04-04 16:41:05"
"33802","29","1","55426","14","","","389","2017-05-02 13:33:27.890000000"
"33802","29","2","52520","1","","","137","2014-04-04 16:27:08"
"33802","32","1","55426","14","","","389","2017-05-02 13:33:27.890000000"
"33802","32","2","52520","1","","","137","2014-04-04 16:27:08"
"33803","35","1","58231","4","","","139","2020-06-05 14:33:10.997000000"
"33803","35","2","52521","26","","","139","2020-06-05 15:32:09.667000000"
"33803","35","3","55426","76","","","139","2020-06-05 15:56:21.933000000"
"33803","39","1","52521","26","","","139","2020-06-05 15:32:09.667000000"
"33803","39","2","55426","76","","","139","2020-06-05 15:56:21.933000000"
"33803","39","3","58231","4","","","139","2020-06-05 14:33:10.997000000"
"33810","15","1","57699","3","","","370","2019-11-23 00:19:39.823000000"
"33813","15","1","57638","4","","","370","2019-11-22 23:49:19.347000000"
"33814","14","1","57639","3","","","370","2019-11-22 23:52:46.050000000"
"33814","15","1","57639","3","","","370","2019-11-22 23:52:46.050000000"
"33817","17","2","56520","2","","","370","2019-04-17 23:22:21.017000000"
"33817","17","4","56788","3","","","370","2019-07-24 20:07:35.883000000"
"33817","18","2","56520","2","","","370","2019-04-17 23:22:21.017000000"
"33817","18","4","56788","3","","","370","2019-07-24 20:07:35.883000000"
"33817","20","2","56520","2","","","370","2019-04-17 23:22:21.017000000"
"33817","20","4","56788","3","","","370","2019-07-24 20:07:35.883000000"
"33817","21","2","56520","2","","","370","2019-04-17 23:22:21.017000000"
"33817","21","4","56788","3","","","370","2019-07-24 20:07:35.883000000"
"33818","15","1","57660","6","","","370","2019-11-22 23:59:04.623000000"
"33820","18","1","52508","1","","","137","2014-04-04 16:30:30"
"33820","18","2","55426","12","","","389","2017-03-23 19:08:06.773000000"
"33820","21","1","55426","12","","","389","2017-03-23 19:08:06.773000000"
"33820","21","2","52508","1","","","137","2014-04-04 16:30:30"
"33821","20","1","52511","1","","","137","2014-04-04 16:32:49"
"33821","20","2","55426","12","","","389","2017-03-15 15:56:24.753000000"
"33821","22","1","52511","1","","","137","2014-04-04 16:32:49"
"33821","22","2","55426","12","","","389","2017-03-15 15:56:24.753000000"
"33821","25","1","55426","12","","","389","2017-03-15 15:56:24.753000000"
"33821","25","2","52511","1","","","137","2014-04-04 16:32:49"
"33822","26","1","52464","2","","","140","2014-04-04 20:21:15"
"33822","26","2","55426","14","","","140","2017-05-12 13:17:57.693000000"
"33822","31","1","52464","30","","","388","2021-05-26 21:52:51.527000000"
"33822","31","2","55426","83","","","388","2021-05-26 21:52:42.820000000"
"33822","31","3","58798","4","","","388","2021-05-26 21:52:24.857000000"
"33823","24","1","52476","1","","","139","2014-04-04 11:38:28"
"33823","24","2","55426","12","","","139","2017-03-20 18:21:57.393000000"
